type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,NBFC AA+,9Y,Zero coupon,1.35,1.35,1.35
Rating,FIMMDA,NBFC AA+,10Y,Zero coupon,1.34,1.34,1.34
Rating,FIMMDA,NBFC AA,6M,Zero coupon,1.61,1.61,1.61
Rating,FIMMDA,NBFC AA,1Y,Zero coupon,1.52,1.52,1.52
Rating,FIMMDA,NBFC AA,2Y,Zero coupon,1.63,1.63,1.63
Rating,FIMMDA,NBFC AA,3Y,Zero coupon,1.69,1.69,1.69
Rating,FIMMDA,NBFC AA,4Y,Zero coupon,1.72,1.72,1.72
Rating,FIMMDA,NBFC AA,5Y,Zero coupon,1.75,1.75,1.75
Rating,FIMMDA,NBFC AA,6Y,Zero coupon,1.7,1.7,1.7
Rating,FIMMDA,NBFC AA,7Y,Zero coupon,1.65,1.65,1.65
Rating,FIMMDA,NBFC AA,8Y,Zero coupon,1.66,1.66,1.66
Rating,FIMMDA,NBFC AA,9Y,Zero coupon,1.64,1.64,1.64
Rating,FIMMDA,NBFC AA,10Y,Zero coupon,1.63,1.63,1.63
Rating,FIMMDA,NBFC AA-,6M,Zero coupon,1.88,1.88,1.88
Rating,FIMMDA,NBFC AA-,1Y,Zero coupon,1.79,1.79,1.79
Rating,FIMMDA,NBFC AA-,2Y,Zero coupon,1.92,1.92,1.92
Rating,FIMMDA,NBFC AA-,3Y,Zero coupon,1.99,1.99,1.99
Rating,FIMMDA,NBFC AA-,4Y,Zero coupon,2.01,2.01,2.01
Rating,FIMMDA,NBFC AA-,5Y,Zero coupon,2.04,2.04,2.04
Rating,FIMMDA,NBFC AA-,6Y,Zero coupon,1.99,1.99,1.99
Rating,FIMMDA,NBFC AA-,7Y,Zero coupon,1.97,1.97,1.97
Rating,FIMMDA,NBFC AA-,8Y,Zero coupon,1.99,1.99,1.99
Rating,FIMMDA,NBFC AA-,9Y,Zero coupon,2.0,2.0,2.0
Rating,FIMMDA,NBFC AA-,10Y,Zero coupon,1.99,1.99,1.99
Rating,FIMMDA,NBFC A+,6M,Zero coupon,2.38,2.38,2.38
Rating,FIMMDA,NBFC A+,1Y,Zero coupon,2.29,2.29,2.29
Rating,FIMMDA,NBFC A+,2Y,Zero coupon,2.42,2.42,2.42
Rating,FIMMDA,NBFC A+,3Y,Zero coupon,2.49,2.49,2.49
Rating,FIMMDA,NBFC A+,4Y,Zero coupon,2.51,2.51,2.51
Rating,FIMMDA,NBFC A+,5Y,Zero coupon,2.54,2.54,2.54
Rating,FIMMDA,NBFC A+,6Y,Zero coupon,2.5,2.5,2.5
Rating,FIMMDA,NBFC A+,7Y,Zero coupon,2.47,2.47,2.47
Rating,FIMMDA,NBFC A+,8Y,Zero coupon,2.5,2.5,2.5
Rating,FIMMDA,NBFC A+,9Y,Zero coupon,2.5,2.5,2.5
Rating,FIMMDA,NBFC A+,10Y,Zero coupon,2.49,2.49,2.49
Rating,FIMMDA,NBFC A,6M,Zero coupon,3.13,3.13,3.13
Rating,FIMMDA,NBFC A,1Y,Zero coupon,3.04,3.04,3.04
Rating,FIMMDA,NBFC A,2Y,Zero coupon,3.17,3.17,3.17
Rating,FIMMDA,NBFC A,3Y,Zero coupon,3.25,3.25,3.25
Rating,FIMMDA,NBFC A,4Y,Zero coupon,3.26,3.26,3.26
Rating,FIMMDA,NBFC A,5Y,Zero coupon,3.29,3.29,3.29
Rating,FIMMDA,NBFC A,6Y,Zero coupon,3.25,3.25,3.25
Rating,FIMMDA,NBFC A,7Y,Zero coupon,3.23,3.23,3.23
Rating,FIMMDA,NBFC A,8Y,Zero coupon,3.26,3.26,3.26
Rating,FIMMDA,NBFC A,9Y,Zero coupon,3.26,3.26,3.26
Rating,FIMMDA,NBFC A,10Y,Zero coupon,3.25,3.25,3.25
Rating,FIMMDA,NBFC A-,6M,Zero coupon,3.63,3.63,3.63
Rating,FIMMDA,NBFC A-,1Y,Zero coupon,3.54,3.54,3.54
Rating,FIMMDA,NBFC A-,2Y,Zero coupon,3.67,3.67,3.67
Rating,FIMMDA,NBFC A-,3Y,Zero coupon,3.75,3.75,3.75
Rating,FIMMDA,NBFC A-,4Y,Zero coupon,3.77,3.77,3.77
Rating,FIMMDA,NBFC A-,5Y,Zero coupon,3.79,3.79,3.79
Rating,FIMMDA,NBFC A-,6Y,Zero coupon,3.75,3.75,3.75
Rating,FIMMDA,NBFC A-,7Y,Zero coupon,3.73,3.73,3.73
Rating,FIMMDA,NBFC A-,8Y,Zero coupon,3.76,3.76,3.76
Rating,FIMMDA,NBFC A-,9Y,Zero coupon,3.76,3.76,3.76
Rating,FIMMDA,NBFC A-,10Y,Zero coupon,3.75,3.75,3.75
Rating,FIMMDA,NBFC BBB+,6M,Zero coupon,3.63,3.63,3.63
Rating,FIMMDA,NBFC BBB+,1Y,Zero coupon,3.54,3.54,3.54
Rating,FIMMDA,NBFC BBB+,2Y,Zero coupon,3.67,3.67,3.67
Rating,FIMMDA,NBFC BBB+,3Y,Zero coupon,3.75,3.75,3.75
Rating,FIMMDA,NBFC BBB+,4Y,Zero coupon,3.77,3.77,3.77
