type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,NBFC,9Y,Asset Swap,135,135,135
Rating,FIMMDA,NBFC,10Y,Asset Swap,134,134,134
Rating,FIMMDA,NBFC,6M,Asset Swap,161,161,161
Rating,FIMMDA,NBFC,1Y,Asset Swap,152,152,152
Rating,FIMMDA,NBFC,2Y,Asset Swap,163,163,163
Rating,FIMMDA,NBFC,3Y,Asset Swap,169,169,169
Rating,FIMMDA,NBFC,4Y,Asset Swap,172,172,172
Rating,FIMMDA,NBFC,5Y,Asset Swap,175,175,175
Rating,FIMMDA,NBFC,6Y,Asset Swap,170,170,170
Rating,FIMMDA,NBFC,7Y,Asset Swap,165,165,165
Rating,FIMMDA,NBFC,8Y,Asset Swap,166,166,166
Rating,FIMMDA,NBFC,9Y,Asset Swap,164,164,164
Rating,FIMMDA,NBFC,10Y,Asset Swap,163,163,163
Rating,FIMMDA,NBFC,6M,Asset Swap,188,188,188
Rating,FIMMDA,NBFC,1Y,Asset Swap,179,179,179
Rating,FIMMDA,NBFC,2Y,Asset Swap,192,192,192
Rating,FIMMDA,NBFC,3Y,Asset Swap,199,199,199
Rating,FIMMDA,NBFC,4Y,Asset Swap,201,201,201
Rating,FIMMDA,NBFC,5Y,Asset Swap,204,204,204
Rating,FIMMDA,NBFC,6Y,Asset Swap,199,199,199
Rating,FIMMDA,NBFC,7Y,Asset Swap,197,197,197
Rating,FIMMDA,NBFC,8Y,Asset Swap,199,199,199
Rating,FIMMDA,NBFC,9Y,Asset Swap,200,200,200
Rating,FIMMDA,NBFC,10Y,Asset Swap,199,199,199
Rating,FIMMDA,NBFC,6M,Asset Swap,238,238,238
Rating,FIMMDA,NBFC,1Y,Asset Swap,229,229,229
Rating,FIMMDA,NBFC,2Y,Asset Swap,242,242,242
Rating,FIMMDA,NBFC,3Y,Asset Swap,249,249,249
Rating,FIMMDA,NBFC,4Y,Asset Swap,251,251,251
Rating,FIMMDA,NBFC,5Y,Asset Swap,254,254,254
Rating,FIMMDA,NBFC,6Y,Asset Swap,250,250,250
Rating,FIMMDA,NBFC,7Y,Asset Swap,247,247,247
Rating,FIMMDA,NBFC,8Y,Asset Swap,250,250,250
Rating,FIMMDA,NBFC,9Y,Asset Swap,250,250,250
Rating,FIMMDA,NBFC,10Y,Asset Swap,249,249,249
Rating,FIMMDA,NBFC A,6M,Asset Swap,313,313,313
Rating,FIMMDA,NBFC A,1Y,Asset Swap,304,304,304
Rating,FIMMDA,NBFC A,2Y,Asset Swap,317,317,317
Rating,FIMMDA,NBFC A,3Y,Asset Swap,325,325,325
Rating,FIMMDA,NBFC A,4Y,Asset Swap,326,326,326
Rating,FIMMDA,NBFC A,5Y,Asset Swap,329,329,329
Rating,FIMMDA,NBFC A,6Y,Asset Swap,325,325,325
Rating,FIMMDA,NBFC A,7Y,Asset Swap,323,323,323
Rating,FIMMDA,NBFC A,8Y,Asset Swap,326,326,326
Rating,FIMMDA,NBFC A,9Y,Asset Swap,326,326,326
Rating,FIMMDA,NBFC A,10Y,Asset Swap,325,325,325
Rating,FIMMDA,NBFC,6M,Asset Swap,363,363,363
Rating,FIMMDA,NBFC,1Y,Asset Swap,354,354,354
Rating,FIMMDA,NBFC,2Y,Asset Swap,367,367,367
Rating,FIMMDA,NBFC,3Y,Asset Swap,375,375,375
Rating,FIMMDA,NBFC,4Y,Asset Swap,377,377,377
Rating,FIMMDA,NBFC,5Y,Asset Swap,379,379,379
Rating,FIMMDA,NBFC,6Y,Asset Swap,375,375,375
Rating,FIMMDA,NBFC,7Y,Asset Swap,373,373,373
