type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,CORP AAA,6M,Zero coupon,77,77,77
Rating,FIMMDA,CORP AAA,1Y,Zero coupon,68,68,68
Rating,FIMMDA,CORP AAA,2Y,Zero coupon,84,84,84
Rating,FIMMDA,CORP AAA,3Y,Zero coupon,95,95,95
Rating,FIMMDA,CORP AAA,4Y,Zero coupon,97,97,97
Rating,FIMMDA,CORP AAA,5Y,Zero coupon,100,100,100
Rating,FIMMDA,CORP AAA,6Y,Zero coupon,97,97,97
Rating,FIMMDA,CORP AAA,7Y,Zero coupon,93,93,93
Rating,FIMMDA,CORP AAA,8Y,Zero coupon,95,95,95
Rating,FIMMDA,CORP AAA,9Y,Zero coupon,95,95,95
Rating,FIMMDA,CORP AAA,10Y,Zero coupon,95,95,95
Rating,FIMMDA,CORP AA+,6M,Zero coupon,106,106,106
Rating,FIMMDA,CORP AA+,1Y,Zero coupon,97,97,97
Rating,FIMMDA,CORP AA+,2Y,Zero coupon,111,111,111
Rating,FIMMDA,CORP AA+,3Y,Zero coupon,121,121,121
Rating,FIMMDA,CORP AA+,4Y,Zero coupon,123,123,123
Rating,FIMMDA,CORP AA+,5Y,Zero coupon,124,124,124
Rating,FIMMDA,CORP AA+,6Y,Zero coupon,121,121,121
Rating,FIMMDA,CORP AA+,7Y,Zero coupon,119,119,119
Rating,FIMMDA,CORP AA+,8Y,Zero coupon,122,122,122
Rating,FIMMDA,CORP AA+,9Y,Zero coupon,123,123,123
Rating,FIMMDA,CORP AA+,10Y,Zero coupon,123,123,123
Rating,FIMMDA,CORP AA,6M,Zero coupon,131,131,131
Rating,FIMMDA,CORP AA,1Y,Zero coupon,123,123,123
Rating,FIMMDA,CORP AA,2Y,Zero coupon,137,137,137
Rating,FIMMDA,CORP AA,3Y,Zero coupon,146,146,146
Rating,FIMMDA,CORP AA,4Y,Zero coupon,149,149,149
Rating,FIMMDA,CORP AA,5Y,Zero coupon,152,152,152
Rating,FIMMDA,CORP AA,6Y,Zero coupon,149,149,149
Rating,FIMMDA,CORP AA,7Y,Zero coupon,146,146,146
Rating,FIMMDA,CORP AA,8Y,Zero coupon,148,148,148
Rating,FIMMDA,CORP AA,9Y,Zero coupon,149,149,149
Rating,FIMMDA,CORP AA,10Y,Zero coupon,148,148,148
Rating,FIMMDA,CORP AA-,6M,Zero coupon,166,166,166
Rating,FIMMDA,CORP AA-,1Y,Zero coupon,157,157,157
Rating,FIMMDA,CORP AA-,2Y,Zero coupon,168,168,168
Rating,FIMMDA,CORP AA-,3Y,Zero coupon,174,174,174
Rating,FIMMDA,CORP AA-,4Y,Zero coupon,180,180,180
Rating,FIMMDA,CORP AA-,5Y,Zero coupon,188,188,188
Rating,FIMMDA,CORP AA-,6Y,Zero coupon,186,186,186
Rating,FIMMDA,CORP AA-,7Y,Zero coupon,184,184,184
Rating,FIMMDA,CORP AA-,8Y,Zero coupon,189,189,189
Rating,FIMMDA,CORP AA-,9Y,Zero coupon,190,190,190
Rating,FIMMDA,CORP AA-,10Y,Zero coupon,192,192,192
Rating,FIMMDA,CORP A+,6M,Zero coupon,266,266,266
Rating,FIMMDA,CORP A+,1Y,Zero coupon,257,257,257
Rating,FIMMDA,CORP A+,2Y,Zero coupon,268,268,268
Rating,FIMMDA,CORP A+,3Y,Zero coupon,275,275,275
Rating,FIMMDA,CORP A+,4Y,Zero coupon,281,281,281
Rating,FIMMDA,CORP A+,5Y,Zero coupon,288,288,288
Rating,FIMMDA,CORP A+,6Y,Zero coupon,286,286,286
Rating,FIMMDA,CORP A+,7Y,Zero coupon,285,285,285
Rating,FIMMDA,CORP A+,8Y,Zero coupon,290,290,290
Rating,FIMMDA,CORP A+,9Y,Zero coupon,291,291,291
Rating,FIMMDA,CORP A+,10Y,Zero coupon,293,293,293
Rating,FIMMDA,CORP A,6M,Zero coupon,291,291,291
Rating,FIMMDA,CORP A,1Y,Zero coupon,282,282,282
Rating,FIMMDA,CORP A,2Y,Zero coupon,293,293,293
Rating,FIMMDA,CORP A,3Y,Zero coupon,300,300,300
Rating,FIMMDA,CORP A,4Y,Zero coupon,306,306,306
Rating,FIMMDA,CORP A,5Y,Zero coupon,313,313,313
Rating,FIMMDA,CORP A,6Y,Zero coupon,311,311,311
Rating,FIMMDA,CORP A,7Y,Zero coupon,310,310,310
Rating,FIMMDA,CORP A,8Y,Zero coupon,316,316,316
Rating,FIMMDA,CORP A,9Y,Zero coupon,316,316,316
Rating,FIMMDA,CORP A,10Y,Zero coupon,318,318,318
Rating,FIMMDA,CORP A-,6M,Zero coupon,341,341,341
